,분기,행정동_코드_명,업종,연령대_10_매출_금액,연령대_20_매출_금액,연령대_10_매출_건수,연령대_20_매출_건수
0,1,신정1동,치과의원,27945,52989603,8,597
1,1,북아현동,일반의류,0,0,0,0
2,1,신촌동,미용실,22206813,827909946,420,17471
3,1,신촌동,핸드폰,0,26167235,0,276
4,1,연희동,중식음식점,1202951,233889956,49,5530
5,1,연희동,골프연습장,0,5265220,0,105
6,1,연희동,핸드폰,0,2341351,0,468
7,1,연희동,운동/경기용품,0,491875683,0,4679
8,1,천연동,스포츠 강습,720860,3788831,5,38
9,1,천연동,커피-음료,3028923,36527766,635,7376
10,1,천연동,네일숍,0,0,0,0
11,1,천연동,문구,862090,10295509,170,1636
12,1,천연동,피부관리실,0,0,0,0
13,1,천연동,패스트푸드점,1299824,13092811,107,710
14,1,천연동,육류판매,825672,37745660,24,1501
15,1,홍은1동,화초,826404,7620493,61,420
16,1,충현동,가구,0,0,0,0
17,1,충현동,호프-간이주점,0,35705098,0,964
18,1,충현동,화장품,0,0,0,0
19,1,충현동,육류판매,0,1898598,0,134
20,1,홍은1동,일반교습학원,0,53620548,0,289
21,1,홍은1동,가전제품수리,0,380061,0,17
22,1,홍은1동,안경,0,6963097,0,124
23,1,홍은2동,당구장,2474549,5904436,290,497
24,1,홍은2동,커피-음료,13601175,91327655,2296,13702
25,1,홍은2동,서적,6218112,896899,270,53
26,1,홍제1동,한의원,0,31636792,0,182
27,1,홍제1동,스포츠 강습,0,32764495,0,61
28,1,홍제3동,여관,0,625774,0,16
29,1,홍제3동,커피-음료,1369013,18815947,271,3692
30,1,공덕동,신발,0,0,0,0
31,1,공덕동,반찬가게,0,5624436,0,829
32,1,공덕동,안경,0,12112110,0,99
33,1,대흥동,패스트푸드점,2996542,32592583,307,3718
34,1,도화동,예술학원,0,0,0,0
35,1,도화동,미용실,2085167,47120288,68,1350
36,1,도화동,분식전문점,10175373,152195759,1025,18324
37,1,도화동,스포츠 강습,332768,104730353,5,120
38,1,망원1동,미곡판매,0,9277478,0,381
39,1,망원1동,노래방,2737800,40230798,515,4818
40,1,망원1동,조명용품,0,1118711,0,133
41,1,망원1동,문구,928615,28689904,222,4425
42,1,망원2동,스포츠 강습,0,14796479,0,92
43,1,망원2동,수산물판매,0,9846683,0,527
44,1,상암동,슈퍼마켓,13787006,458605182,2385,42276
45,1,상암동,미용실,2796437,50820885,132,1652
46,1,상암동,편의점,27890617,1156999515,7114,238773
47,1,서교동,중식음식점,104183066,1147991731,6651,50899
48,1,서교동,시계및귀금속,3257571,25756776,55,398
49,1,성산1동,일식음식점,2674514,37400501,179,1591
50,1,성산1동,제과점,101880,6684390,15,700
51,1,성산1동,스포츠클럽,0,35039364,0,201
52,1,성산1동,운동/경기용품,0,27146268,0,796
53,1,연남동,중식음식점,44774553,574655280,1121,13807
54,1,성산2동,중식음식점,2499125,30955663,194,1716
55,1,신수동,미용실,578460,4841369,16,160
56,1,아현동,청과상,0,2088142,0,226
57,1,연남동,패스트푸드점,947336,23006494,39,1124
58,1,연남동,화장품,0,472239,0,28
59,1,염리동,화장품,0,0,0,0
60,1,용강동,안경,799790,230708,10,5
61,1,용강동,조명용품,0,838188,0,22
62,1,합정동,노래방,192129,34554576,16,1413
63,1,합정동,스포츠클럽,0,3568256,0,9
64,1,합정동,자동차수리,0,268580,0,12
65,1,목1동,호프-간이주점,54592559,276554133,1852,7975
66,1,목1동,편의점,133562588,538073412,44015,115831
67,1,목1동,가전제품,623480,27373084,35,106
68,1,목1동,화초,0,4219773,0,277
69,1,목2동,패스트푸드점,462083,4908569,24,180
70,1,목2동,중식음식점,190217,7344405,22,352
